date,company,offer,search_index,social_mentions,website_visits,promo_spend,price_index,competitor_index,holiday_flag,demand_units,is_synthetic
2025-08-01,寶島眼鏡,機能鏡片,63.3,88.0,2288.0,9440.0,1.115,15.5,1,446,True
2025-09-01,寶島眼鏡,機能鏡片,58.3,43.0,2244.0,7287.0,1.078,45.9,0,377,True
2025-10-01,寶島眼鏡,機能鏡片,56.4,58.0,2233.0,7194.0,1.09,17.5,0,388,True
2025-11-01,寶島眼鏡,機能鏡片,61.7,54.0,2181.0,7106.0,1.045,62.8,0,396,True
2025-12-01,寶島眼鏡,機能鏡片,63.0,98.0,2266.0,7744.0,1.005,49.6,1,442,True
2024-01-01,寶島眼鏡,親子視覺健康,66.7,,2457.0,8577.0,1.051,56.4,1,446,True
2024-02-01,寶島眼鏡,親子視覺健康,64.2,127.0,2413.0,9281.0,1.097,54.9,1,463,True
2024-03-01,寶島眼鏡,親子視覺健康,61.6,104.0,2333.0,6777.0,1.034,74.1,0,418,True
2024-04-01,寶島眼鏡,親子視覺健康,63.2,104.0,2656.0,6684.0,1.105,49.7,0,468,True
2024-05-01,寶島眼鏡,親子視覺健康,66.8,100.0,2615.0,5555.0,1.071,50.3,0,448,True
2024-06-01,寶島眼鏡,親子視覺健康,72.4,101.0,2565.0,7670.0,1.024,51.7,0,400,True
2024-07-01,寶島眼鏡,親子視覺健康,55.8,120.0,2420.0,8765.0,1.079,53.4,1,450,True
2024-08-01,寶島眼鏡,親子視覺健康,60.7,71.0,1872.0,8873.0,1.046,53.2,1,379,True
2024-09-01,寶島眼鏡,親子視覺健康,53.3,63.0,2128.0,6420.0,1.086,62.8,0,417,True
2024-10-01,寶島眼鏡,親子視覺健康,50.2,38.0,2344.0,5368.0,1.069,65.8,0,441,True
2024-11-01,寶島眼鏡,親子視覺健康,60.8,76.0,2054.0,5870.0,1.019,66.0,0,368,True
2024-12-01,寶島眼鏡,親子視覺健康,62.4,112.0,2398.0,8695.0,1.015,29.2,1,452,True
2025-01-01,寶島眼鏡,親子視覺健康,67.3,110.0,2695.0,10599.0,1.083,58.2,1,472,True
2025-02-01,寶島眼鏡,親子視覺健康,74.0,125.0,2710.0,9321.0,1.115,51.4,1,434,True
2025-03-01,寶島眼鏡,親子視覺健康,78.6,105.0,2703.0,7444.0,0.978,47.9,0,408,True
2025-04-01,寶島眼鏡,親子視覺健康,72.7,86.0,2662.0,5564.0,1.031,37.9,0,442,True
2025-05-01,寶島眼鏡,親子視覺健康,63.1,101.0,2584.0,7909.0,1.062,27.4,0,378,True
2025-06-01,寶島眼鏡,親子視覺健康,65.5,72.0,2495.0,6303.0,1.07,38.9,0,398,True
2025-07-01,寶島眼鏡,親子視覺健康,77.5,102.0,2575.0,8548.0,1.083,45.6,1,477,True
2025-08-01,寶島眼鏡,親子視覺健康,67.4,92.0,2547.0,8990.0,1.067,45.2,1,426,True
2025-09-01,寶島眼鏡,親子視覺健康,65.3,63.0,2380.0,6168.0,1.044,50.4,0,387,True
2025-10-01,寶島眼鏡,親子視覺健康,59.6,67.0,2356.0,6232.0,0.991,54.0,0,409,True
2025-11-01,寶島眼鏡,親子視覺健康,63.1,65.0,2052.0,7845.0,1.039,47.8,0,431,True
2025-12-01,寶島眼鏡,親子視覺健康,78.5,91.0,2613.0,9317.0,1.063,36.6,1,431,True
2024-01-01,寶島眼鏡,智慧門市會員方案,61.3,142.0,2496.0,8273.0,1.087,48.5,1,478,True
2024-02-01,寶島眼鏡,智慧門市會員方案,78.7,153.0,2795.0,8870.0,1.136,53.2,1,475,True
2024-03-01,寶島眼鏡,智慧門市會員方案,71.5,142.0,2399.0,7558.0,1.191,50.1,0,421,True
2024-04-01,寶島眼鏡,智慧門市會員方案,67.3,106.0,2618.0,8269.0,1.093,51.0,0,440,True
2024-05-01,寶島眼鏡,智慧門市會員方案,64.0,123.0,2590.0,6327.0,1.058,49.9,0,445,True
2024-06-01,寶島眼鏡,智慧門市會員方案,64.1,121.0,2402.0,7360.0,1.039,61.9,0,427,True
2024-07-01,寶島眼鏡,智慧門市會員方案,77.8,136.0,2739.0,8182.0,1.152,44.3,1,467,True
2024-08-01,寶島眼鏡,智慧門市會員方案,71.5,125.0,2540.0,7831.0,1.076,43.9,1,496,True
2024-09-01,寶島眼鏡,智慧門市會員方案,56.2,93.0,2170.0,8497.0,1.081,56.0,0,413,True
2024-10-01,寶島眼鏡,智慧門市會員方案,45.7,59.0,2146.0,7866.0,1.16,38.6,0,437,True
2024-11-01,寶島眼鏡,智慧門市會員方案,60.5,54.0,2205.0,7145.0,1.021,42.6,0,434,True
2024-12-01,寶島眼鏡,智慧門市會員方案,66.9,113.0,2378.0,9757.0,1.095,54.5,1,445,True
2025-01-01,寶島眼鏡,智慧門市會員方案,79.2,162.0,2881.0,8440.0,1.082,30.2,1,463,True
2025-02-01,寶島眼鏡,智慧門市會員方案,86.9,143.0,2881.0,9210.0,1.124,49.4,1,484,True
2025-03-01,寶島眼鏡,智慧門市會員方案,78.3,98.0,2804.0,7012.0,1.086,36.8,0,412,True
2025-04-01,寶島眼鏡,智慧門市會員方案,79.1,145.0,2774.0,7074.0,1.078,55.0,0,417,True
2025-05-01,寶島眼鏡,智慧門市會員方案,93.2,130.0,2924.0,9620.0,1.1,33.8,0,416,True
2025-06-01,寶島眼鏡,智慧門市會員方案,71.5,113.0,2550.0,6337.0,1.149,45.8,0,429,True
2025-07-01,寶島眼鏡,智慧門市會員方案,69.4,147.0,2607.0,9274.0,1.08,36.8,1,485,True
2025-08-01,寶島眼鏡,智慧門市會員方案,87.5,79.0,2867.0,8437.0,1.052,42.0,1,435,True
2025-09-01,寶島眼鏡,智慧門市會員方案,51.1,58.0,1960.0,7736.0,1.059,47.5,0,427,True
2025-10-01,寶島眼鏡,智慧門市會員方案,70.7,72.0,2555.0,6670.0,1.084,51.6,0,440,True
2025-11-01,寶島眼鏡,智慧門市會員方案,67.0,73.0,2335.0,6280.0,1.131,41.3,0,414,True
2025-12-01,寶島眼鏡,智慧門市會員方案,81.5,94.0,2624.0,7859.0,1.158,55.5,1,427,True
